label,type,space_min,space_max,time_min,time_max
OWF monitoring and n observing platforms,monitoring,1.00E+07,1.00E+14,60,315576000
"Synoptic, n numerical n oceanography",monitoring,1.00E+08,1.00E+19,1800,3155760000
"Migration, n pop. dynamics, n fishing fleets",impact,1.00E+14,1.00E+19,2592000,631152000
FI surveys,monitoring,1.00E+13,1.00E+18,604800,2592000
Observing network,monitoring,1.00E+13,1.00E+17,1800,1577880000
"OWF EMF, fouling, n and noise",impact,1.00E+06,1.00E+13,3600,315576000
Fisheries,impact,1.00E+13,1.50E+15,2592000,315576000
