Foundation type (group),Project Name,Status,Total Project Capacity,Year awarded (group),Commissioning date,Distance To Shore Average,Number Of Turbines,Owner,Status,To_Show_Turbine_Manufacturer,Total Project Capacity,Water Depth Average,GIS Latitude,GIS Longitude
Monopile,Gwynt y Môr,Online,576,Unknown,2015,13,160,Macquarie Capital & RWE & Siemens & Stadwerke München,Online,SIEMENS Wind Power A/S,576,20,53.4616,-3.5927
Monopile,Race Bank,Online,573.3,Unknown,2018,28,91,Macquarie Capital & Ørsted,Online,SIEMENS Wind Power A/S,573.3,18,53.276,0.841
Monopile,EnBW Hohe See,Online,521.85,Unknown,2019,102.5,71,Canada Pension Plan Investment Board (CPPIB) & Enbridge & EnBW,Online,SIEMENS Wind Power,521.85,40,54.444,6.329
Monopile,Greater Gabbard,Online,504,Unknown,2012,34.2,140,RWE & SSE Renewables,Online,SIEMENS Wind Power A/S,504,26,51.8836,1.9354
Monopile,Saint-Nazaire,Online,480,2012,2022,16,80,Canada Pension Plan Investment Board (CPPIB) & EDF Renouvelables & Enbridge,Online,GE Renewable Energy,480,18.5,47.157,-2.606
Monopile & Suction Bucket Jacket,Borkum Riffgrund II,Online,450,2018,2018,57,56,Global Infrastructure Partners & Ørsted,Online,MHI Vestas Offshore Wind,450,26,53.956,6.496
Monopile,Horns Rev 3,Online,406.7,2015,2019,29.6,49,Vattenfall,Online,MHI Vestas Offshore Wind,406.7,15.5,55.702,7.689
Monopile,Veja Mate,Online,402,Unknown,2017,88.5,67,Copenhagen Infrastructure Partners & Laidlaw Capital Group & Siemens,Online,SIEMENS Wind Power A/S,402,40,54.317,5.871
Monopile,Dudgeon East,Online,402,2014,2017,26,67,China Resources Power & Equinor & Masdar,Online,SIEMENS Wind Power A/S,402,21.5,53.265,1.38
Monopile,Rampion,Online,400.2,Unknown,2018,18,116,Enbridge & Macquarie Capital & RWE,Online,MHI Vestas Offshore Wind,400.2,34.5,50.67,-0.277
Tripod,Global Tech I,Online,400,Unknown,2015,84,80,Axpo International & Entega & Esportes Offshore Beteiligungs & FC Wind 1&2 & GTU I&II & Norderland Projeckt & Stadwerke München & Windreich,Online,ADWEN,400,40,54.507,6.364
Tripile,BARD Offshore 1,Online,400,Unknown,2013,93.5,80,Macquarie Capital,Online,BARD,400,40,54.3557,5.98
Monopile,Anholt,Online,399.6,2010,2013,30,111,Ørsted & Pension Danmark & PKA,Online,SIEMENS Wind Power A/S,399.6,16.75,56.5354,11.2112
Monopile,Merkur Offshore,Online,396,Unknown,2019,60,66,ADEME & DEME NV & GE Renewable Energy & InfraRed Capital Partners & Partners Group,Online,GE Renewable Energy,396,30,54.043,6.554
Monopile,West of Duddon Sands,Online,388.8,Unknown,2014,17.6,108,Iberdrola Renovables & Ørsted,Online,SIEMENS Wind Power A/S,388.8,20.5,53.984,-3.464
Monopile,Arkona,Online,385,Unknown,2018,35,60,Equinor & RWE,Online,Siemens Gamesa,385,29.5,54.782,14.121
Monopile,Norther,Online,369.6,Unknown,2019,24,44,Elicio & Eneco & Mitsubishi Corporation,Online,MHI Vestas Offshore Wind,369.6,22.5,51.527,3.014
Monopile,Walney 1 & 2,Online,367.2,Unknown,2012,15,102,Ampere Fund & Ørsted & PGGM & SSE Renewables,Online,SIEMENS Wind Power A/S,367.2,24.5,54.0447,-3.5024
Jacket,Wikinger,Online,361.16,Unknown,2017,35,70,Iberdrola Renovables,Online,ADWEN,361.16,35,54.834,14.068
Monopile,Galloper,Online,352.8,Unknown,2018,27,56,Macquarie Capital & Macquarie Capital & RWE & Siemens & Sumimoto Corporation,Online,SIEMENS Wind Power A/S,352.8,31.5,51.893,2.034
Monopile,Kaskasi,Online,342,2018,2022,35,38,RWE,Online,Siemens Gamesa,342,21.5,54.489,7.695
Monopile,Nordsee One,Online,332.1,Unknown,2017,46,54,Northland Power & RWE,Online,Senvion,332.1,30,53.979,6.814
Monopile,Walney 3 (Extension Phase 1 - West),Online,330,2017,2018,15,40,Ørsted & PFA & PKA,Online,MHI Vestas Offshore Wind,330,21,54.088,-3.738
Monopile,Gode Wind I,Online,330,Unknown,2016,37.5,55,Glennmont Partners & Global Infrastructure Partners & Ørsted,Online,SIEMENS Wind Power A/S,330,30.5,54.041,6.994
